Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
patejar;;;;verb transitiu i intransitiu;col·loquial;
patel·liforme;;;;adjectiu;;
patèl·lula;;;;femení;;
pàter;;;;masculí;;
pàter;;;;loc. adv.;;
paternostrera;;;;femení;;
patinació;;;;femení;;
pato;;;;masculí;col·loquial;
patós;;-osa;;adjectiu;col·loquial;
patroner;;-a;;adjectiu i masculí i femení;;
patroner;;-a;;adjectiu;;
patuflo;;-a;;adjectiu;col·loquial;
patulea;;;;femení;;
patxorrut;;-uda;;adjectiu;;
pauròpode;;;;masculí plural;;
pauròpode;;;;masculí singular;;
pausar;;;;verb transitiu;;
pavià;;-ana;;adjectiu;;
pavià;;-ana;;adjectiu i masculí i femení;;
paviera;;;;femení;;
peada;;;;femení;;
pebreral;;;;masculí;;
pecari;;;;masculí;;
pecatifòbia;;;;femení;;
peccata minuta;llatí;;;loc. subst.;;
pecejar;;;;verb transitiu;;
peçonera;;;;femení;;
pecoral;;;;adjectiu;antic;
pectoràlgia;;;;femení;;
peculiarisme;;;;masculí;;
pecuniós;;-osa;;adjectiu;;
pedalejabilitat;;;;femení;;
pedalejable;;;;adjectiu;;
pedregall;;;;femení;;
pegador;;-a;;adjectiu;;
pegatina;;;;femení;;
pegó;;-ona;;adjectiu i masculí i femení;;
pegomàs;;;-assos;masculí;;
pegull;;;;masculí;;
pegunter;;-a;;masculí i femení;;
peguntós;;-osa;;adjectiu;;
peire;;;;masculí;;
peitar;;;;verb transitiu;;
peixer;;-a;;masculí i femení;;
pel·lagrós;;-osa;;adjectiu;;
pel·lagrós;;-osa;;adjectiu i masculí i femení;;
pel·liculesc;;-a;;adjectiu;;
pelacabres;;;;masculí invariable;col·loquial;
peladura;;;;femení;;
peladura;;;;femení plural;;
pellejadora;;;;femení;;
pelleranca;;;;femení;;
pelleret;;;;masculí;;
pelleruc;;;;masculí;;
pellot;;;;masculí;;
pèl-ros;;rossa;;adjectiu;;
peluca;;;;femení;;
peluquer;;-a;;masculí i femení;;
peluqueria;;;;femení;;
peluquí;;;;masculí;;
penalti;;;;masculí;;
pena-rogenc;;-a;;adjectiu i masculí i femení;;
pena-rogenc;;-a;;adjectiu;;
pendanga;;;;femení;col·loquial;
pendentós;;-osa;;adjectiu;;
penene;;;;masculí i femení;;
pengeroll;;;;masculí;;
pengerolla;;;;femení;;
penitis;;;;femení invariable;;
penosella;;;;femení;;
pensamentada;;;;femení;;
pensilvà;;-ana;;adjectiu i masculí i femení;;
pensilvà;;-ana;;adjectiu;;
pentecosta;;;;femení;;
pentecostés;;;;masculí invariable;;
pentinamenta;;;;femení;col·loquial;
pentineria;;;;femení;;
penyó;;;;masculí;;
penyot;;;;masculí;;
pepita;;;;femení;;
pepitam;;;;masculí;;
peppermint;anglés;;;masculí;;
peraire;;;;masculí i femení;;
perairia;;;;femení;;
peramola;;;;femení;;
perbollir;;;;verb transitiu;;
percint;;;;masculí;antic;
percinta;;;;femení;;
perdigalla;;;;femení;;
perellonada;;;;femení;;
pereola;;;;femení;;
pergaminós;;-osa;;adjectiu;;
pergirament;;;;Masculí;;
periadenitis;;;;femení invariable;;
periambe;;;;masculí;;
periamigdalitis;;;;femení invariable;;
peribronquitis;;;;femení invariable;;
pericàrpic;;-a;;adjectiu;;
pericel·lular;;;;adjectiu;;
periclasi;;;;femení;;
pericondroma;;;;masculí;;
perigàstric;;-a;;adjectiu;;
perigastritis;;;;femení invariable;;
perirectal;;;;adjectiu;;
perisarc;;;;masculí;;
peritació;;;;femení;;
perjudicable;;;;adjectiu;;
perlúcid;;;;adjectiu invariable;;
peroliar;;;;verb transitiu;;
perorata;;;;femení;;
perpissa;;;;masculí;;
perquisitiu;;-iva;;adjectiu;;
perra;;;;femení;col·loquial;
perreta;;;;femení;col·loquial;
persianista;;;;masculí i femení;;
persignació;;;;femení;;
persolador;;-a;;masculí i femení;;
persolar;;;;verb transitiu;;
persorbir;;;;verb transitiu;;
perterir;;;;verb intransitiu;;
pertusenc;;-a;;adjectiu i masculí i femení;;
pertusenc;;-a;;adjectiu;;
perxó;;;;masculí;;
pesebrera;;;;femení;;
pesebró;;;;masculí;;
pesquerell;;;;masculí;;
pesquisa;;;;femení;;
pessigador;;-a;;adjectiu i masculí i femení;;
pestanyós;;-osa;;adjectiu;;
pestilenciós;;-osa;;adjectiu;;
petejament;;;;Masculí;;
petenera;;;;femení;;
petrolat;;;;masculí;;
petroler;;-a;;adjectiu i masculí i femení;;
petxelina;;;;femení;;
peuejar;;;;verb intransitiu;;
peuera;;;;femení;;
pevetera;;;;femení;;
piafador;;-a;;adjectiu;;
pianoforte;italià;;;masculí;;
picafigues;;;;masculí invariable;;
picafort;;;;masculí;;
picamatalafs;;;;masculí invariable;;
picapleits;;;;masculí i femení invariable;;
picarassa;;;;femení;;
picardó;;;;masculí;;
picatort;;;;masculí;;
picatroncs;;;;masculí invariable;;
picatxo;;;;masculí;;
picolejar;;;;verb intransitiu;;
picoretes;;;;femení plural;;
picotada;;;;femení;;
picrina;;;;femení;;
pigoter;;-a;;adjectiu;;
pilates;;;;masculí invariable;;
pilila;;;;femení;col·loquial;
pilsen;;;;femení;;
pima;;;;masculí i femení;;
pima;;;;adjectiu;;
pim-pom;;;;masculí;col·loquial;
pinaci;;-àcia;;femení plural;;
pinaci;;-àcia;;femení singular;;
pinaci;;-àcia;;adjectiu;;
pinata;;;;femení;;
pinatada;;;;femení;;
pinatell;;;;masculí;;
pinatella;;;;femení;;
pinatenca;;;;femení;;
pinató;;;;masculí;;
pinotxa;;;;femení;;
pintadet;;;;masculí;;
pintamones;;;;masculí i femení invariable;col·loquial;
pinyater;;-a;;masculí i femení;;
pinyerol;;;;masculí;;
pinyolera;;;;femení;;
pinzeller;;-a;;masculí i femení;;
pinzeller;;-a;;masculí;;
piorla;;;;femení;;
piorreic;;-a;;adjectiu;;
pipermint;;;;masculí;;
pipicà;;;;masculí;;
pipiol;;;;masculí;;
piquerol;;;;masculí;;
piquerol;;;;loc. verb.;;
piqueroleig;;;;masculí;;
piquerolejar;;;;verb intransitiu;;
piquerot;;;;masculí;;
pirandel·lià;;-ana;;adjectiu;;
piràtic;;-a;;adjectiu;;
pirídic;;-a;;adjectiu;;
pirineus;;;;masculí invariable;;
pirobalística;;;;femení;;
pirolaci;;-àcia;;adjectiu;;
pirolaci;;-àcia;;femení plural;;
pirolaci;;-àcia;;femení singular;;
piròlatra;;;;masculí i femení;;
pirolatria;;;;femení;;
pirròlic;;-a;;adjectiu;;
pis-pissiganya;;;;masculí;;
pitaina;;;;femení;;
pitanceria;;;;femení;;
pitblau;;;;masculí;;
pitiàtic;;-a;;adjectiu;;
pitjó;;;;masculí;;
pitjola;;;;masculí;;
pito;;-a;;adjectiu;col·loquial;
pitralera;;;;femení;;
pítxol;;;;masculí;;
pítxola;;;;femení;;
pitxorrull;;;;masculí;;
piuejar;;;;verb intransitiu;;
piulit;;;;masculí;;
pixarrada;;;;femení;col·loquial;
pixarró;;-ona;;adjectiu i masculí i femení;col·loquial;
pixerada;;;;femení;col·loquial;
pixó;;-ona;;adjectiu i masculí i femení;col·loquial;
pixó;;-ona;;adjectiu;;
pixorro;;-a;;masculí;vulgar;
pixorro;;-a;;adjectiu;col·loquial;
pixorro;;-a;;masculí i femení;col·loquial;
placador;;-a;;masculí i femení;;
planejador;;;;masculí;;
planígraf;;;;masculí;;
planitud;;;;femení;;
plantacoes;;;;masculí invariable;;
plantaina;;;;femení;;
plantonada;;;;femení;;
planyós;;-osa;;adjectiu;;
plasmolitzar;;;;verb transitiu;;
plasticultura;;;;femení;;
platejament;;;;masculí;;
platerer;;;;masculí;;
platerina;;;;femení;;
platinador;;-a;;masculí i femení;;
platiner;;;;masculí;;
platirí;;;;masculí;;
play;anglés;;;masculí;;
play-off;anglés;;;masculí;;
pleit;;;;masculí;;
pleiteig;;;;masculí;;
pleitejador;;-a;;adjectiu i masculí i femení;;
pleitejant;;;;adjectiu i masculí i femení;;
pleitejar;;;;verb transitiu i intransitiu;;
pleuràlgia;;;;femení;;
plis-plai;;;;masculí;;
plomalla;;;;femení;;
plomallejar;;;;verb transitiu;;
ploramicar;;;;verb intransitiu;;
ploreguera;;;;femení;;
plorimicar;;;;verb intransitiu;;
ploviscós;;-osa;;adjectiu;;
pluralia tantum;llatí;;;masculí invariable;;
pluricolor;;;;adjectiu;;
plurinervat;;-ada;;adjectiu;;
pneumostoma;;;;masculí;;
poadís;;-issa;;adjectiu;;
poaler;;-a;;masculí i femení;;
pocalliga;;;;masculí i femení;;
pocalliga;;;;femení;;
podògraf;;;;masculí;;
podològic;;-a;;adjectiu;;
podrimenta;;;;femení;col·loquial;
polaroid;;;;femení;;
polemòleg;;-òloga;;masculí i femení;;
polemològic;;-a;;adjectiu;;
poli;;;;femení;col·loquial;
poli;;;;masculí i femení;col·loquial;
policlàdide;;;;masculí plural;;
policlàdide;;;;masculí singular;;
policlínic;;-a;;adjectiu;;
polidàctil;;-a;;adjectiu;;
polideportiu;;;;masculí;;
poligínic;;-a;;adjectiu;;
polimentació;;;;femení;;
polimentador;;-a;;adjectiu;;
polimentador;;-a;;masculí i femení;;
polimentar;;;;verb transitiu;;
pólio;;;;femení;;
poliomielític;;-a;;adjectiu;;
poliomielític;;-a;;adjectiu i masculí i femení;;
polipectomia;;;;femení;;
polipeptídic;;-a;;adjectiu;;
polipoide;;;;adjectiu;;
política-ficció;;;;femení;;
politicomania;;;;femení;;
politiquer;;-a;;adjectiu i masculí i femení;;
politop;;;;masculí;;
pollastreria;;;;femení;;
pollissó;;-ona;;adjectiu;;
pollut;;-uda;;adjectiu;;
polsinós;;-osa;;adjectiu;;
poltrota;;;;femení;;
pólveres;;;;femení plural;;
polzim;;;;masculí;;
pomologista;;;;masculí i femení;;
ponteig;;;;masculí;;
pontejar;;;;verb transitiu;;
pontilló;;;;masculí;;
pònting;;;;masculí;;
popelina;;;;femení;;
pop-rock;anglés;;;masculí;;
pòpul;;;;masculí;;
populina;;;;femení;;
porcastra;;;;femení;;
porcastre;;;;masculí ;;
porcelana;;;;femení;;
poreguita;;;;adjectiu i masculí i femení;col·loquial;
porfia;;;;femení;;
porfidiar;;;;verb intransitiu;;
porica;;;;adjectiu i masculí i femení;col·loquial;
poriga;;;;adjectiu i masculí i femení;col·loquial;
porigós;;-osa;;adjectiu i masculí i femení;;
porrar;;;;verb intransitiu;;
porrassí;;;;masculí;;
porrito;;;;masculí;;
porronada;;;;femení;;
porroner;;-a;;masculí i femení;;
portaaïnes;;;;masculí invariable;;
portaestandard;;;;masculí i femení;;
portaestandard;;;;masculí;;
portagraneretes;;;;masculí invariable;;
portaperetes;;;;masculí invariable;;
porta-rolls;;;;masculí invariable;;
portor;;-a;;masculí i femení;;
portuguesisme;;;;masculí;;
porxi;;;;masculí;;
positivadora;;;;femení;;
post scriptum;llatí;;;masculí invariable;;
postbalanç;;;;adjectiu i masculí;;
postesar;;;;verb transitiu;;
postest;;;;masculí;;
postil·lador;;-a;;masculí i femení;;
postònic;;-a;;adjectiu;;
postraumàtic;;-a;;adjectiu;;
potam;;;;masculí;;
potamografia;;;;femení;;
potrada;;;;femení;;
pouer;;-a;;masculí i femení;;
povil;;-a;;masculí i femení;;
practicisme;;;;masculí;;
precisiu;;-iva;;adjectiu;;
preconitzable;;;;adjectiu;;
precordi;;;;masculí;;
predestinacionisme;;;;masculí;;
predispondre;;;;verb transitiu;;
predors;;;;masculí;;
preescriptura;;;;femení;;
preforma;;;;femení;;
preglacial;;;;adjectiu;;
pregravació;;;;femení;;
pregravar;;;;verb transitiu;;
preguisat;;-ada;;adjectiu;;
preinserció;;;;femení;;
preixenaire;;;;adjectiu i masculí i femení;;
preixenaire;;;;adjectiu;;
prelibar;;;;verb transitiu;;
prelògic;;-a;;adjectiu;;
prenyamenta;;;;femení;col·loquial;
prerenaiximent;;;;masculí;;
presbíter;;;;masculí;;
preseleccionar;;;;verb transitiu;;
preselector;;;;masculí;;
preserralada;;;;femení;;
pressupondre;;;;verb transitiu;;
prestigiador;;-a;;adjectiu;;
priapitis;;;;femení invariable;;
prima donna;italià;;;femení;;
primervinent;;;;adjectiu;;
primigràvida;;;;adjectiu i femení;;
primitivista;;;;adjectiu;;
primitivista;;;;masculí i femení;;
proceritat;;;;femení;;
proclamable;;;;adjectiu;;
proconceptiu;;-iva;;adjectiu i masculí;;
procrastinar;;;;verb intransitiu;;
proctorràgia;;;;femení;;
proestre;;;;masculí;;
profembra;;;;femení;antic;
profetitzador;;-a;;adjectiu;;
prohibidor;;-a;;adjectiu;;
propondre;;;;verb transitiu i pronominal;;
proscènic;;-a;;adjectiu;;
protactini;;;;masculí;;
protídic;;-a;;adjectiu;;
protodiaca;;;;masculí;;
protombina;;;;femení;;
pròtome;;;;adjectiu;;
protonotaria;;;;femení;;
protozoari;;;;masculí;;
provença;;;;femení;;
provençada;;;;femení;;
provençalització;;;;femení;;
provençalitzar;;;;verb transitiu;;
provicari;;;;masculí;;
provincialitzar;;;;verb transitiu;;
provincialitzar;;;;verb transitiu i pronominal;;
prunyonós;;-osa;;adjectiu;;
psicodelisme;;;;femení;;
psilotata;;;;femení;;
pteridòpsid;;;;masculí;;
ptolemeic;;-a;;adjectiu;;
pudentí;;-ina;;masculí i femení;;
puderna;;;;femení;;
pujola;;;;femení;;
pul;;;;loc. adv.;;
pulgó;;;;masculí;;
pull;;;;interjecció;;
pullman;anglés;;;masculí;;
pulòver;;;;masculí;;
pulpar;;;;adjectiu;;
pumpel·lita;;;;femení;;
puntelletes;;;;loc. adv.;;
puntilla;;;;femení;;
pupó;;;;masculí;infantil;
purneig;;;;masculí;;
purnejant;;;;adjectiu;;
purnejar;;;;verb intransitiu;;
putanejar;;;;verb intransitiu;antic;
putput;;;;femení (o masculí);;
putx;;;;masculí;;
q;;;;femení;;
qaf;;;;femení;;
quadricipital;;;;adjectiu;;
quadriguer;;-a;;masculí;;
quadrilocular;;;;adjectiu;;
quadriplaça;;;;adjectiu i masculí;;
quallaret;;;;masculí;;
quallaró;;;;masculí;;
quarantó;;-ona;;adjectiu i masculí i femení;;
quarsarenita;;;;femení;;
quartanari;;-ària;;adjectiu i masculí i femení;;
quartejador;;-a;;adjectiu i masculí i femení;;
quarterol;;;;masculí;;
quasibivalent;;;;adjectiu;;
quasigeoide;;;;masculí;;
quasimodo;;;;masculí;;
quatridià;;-ana;;adjectiu;antic;
qüè;;;;loc. orac.;;
qüè;;;;loc. verb.;;
qüè;;;;masculí;col·loquial;
quebab;;;;masculí;;
quebrassat;;-ada;;adjectiu;;
qüec-qüec;;;;onomatopeia;;
queixó;;-ona;;adjectiu;;
queloma;;;;masculí;;
quemirar;;;;masculí;;
quemocèfal;;-a;;adjectiu i masculí i femení;;
quemocefàlia;;;;femení;;
quemocefàlic;;-a;;adjectiu;;
quena;;;;femení;;
queradilla;;;;femení;;
queratectomia;;;;femení;;
queratohialina;;;;femení;;
queratoma;;;;femení;;
queratosi;;;;femení;;
querma;;;;femení;;
querós;;-osa;;adjectiu i masculí i femení;;
que-sentir;;;;masculí;;
queveure;;;;masculí;;
quiche;francés;;;femení;;
quid pro quo;llatí;;;masculí invariable;;
quietós;;-osa;;adjectiu;;
quilojoule;;;;masculí;;
quilomol;;;;masculí;;
quilovat;;;;masculí;;
químio;;;;femení;;
quinal;;;;masculí;;
quiner;;-a;;masculí i femení;;
quinielístic;;-a;;adjectiu;;
quinquevalent;;;;adjectiu;;
quintaessència;;;;femení;;
quíquera;;;;femení;;
quirguís;;;;adjectiu i masculí i femení;;
quisvol;;;;pronom;antic;
quitranós;;-osa;;adjectiu;;
r;;;;femení;;
ra;;;ras;femení;;
rabassar;;;;verb transitiu;;
rabassegall;;;;masculí;;
rabicida;;;;adjectiu i masculí;;
rabotada;;;;femení;col·loquial;
radarista;;;;masculí i femení;;
radarteràpia;;;;femení;;
radiobiològic;;-a;;adjectiu;;
radiocompacte;;;;masculí;;
radiodermatitis;;;;femení invariable;;
radioescolta;;;;masculí i femení;;
radioestesista;;;;masculí i femení;;
radiofísica;;;;femení;;
radiolesió;;;;femení;;
radiolúcid;;-a;;adjectiu;;
radioopacitat;;;;femení;;
radiooperador;;-a;;masculí;;
radiotelevisiu;;-iva;;adjectiu;;
radiotòxic;;-a;;adjectiu i masculí;;
radiotoxicitat;;;;femení;;
rafalí;;-ina;;adjectiu;;
rafalí;;-ina;;locució;;
ràfel;;;;masculí;;
rafinasa;;;;femení;;
ràfol;;;;masculí;;
rafter;;-a;;masculí i femení;;
ragòcit;;;;masculí;;
raïlar;;;;verb intransitiu i pronominal;;
raixmar;;;;verb transitiu;;
rallet;;;;masculí;;
ramaler;;-a;;masculí i femení;;
ramassera;;;;femení;;
ramblar;;;;masculí;;
ramet;;;;masculí;;
ramet;;;;loc. verb.;;
ràmex;;;-exs;masculí;;
ramicotomia;;;;femení;;
ramisecció;;;;femení;;
ramonejar;;;;verb intransitiu;;
rampagoll;;;;masculí;antic;
rampallada;;;;femení;;
rampar;;;;verb intransitiu;;
rançal;;;;masculí;;
rancallar;;;;verb intransitiu;;
rani;;;;femení;;
rant;;;;adverbi;col·loquial;
ranter;;;;adverbi;col·loquial;
ranteret;;;;adverbi;col·loquial;
rapa-fuig;;;;loc. adv.;;
raquetada;;;;femení;;
raquiopatia;;;;femení;;
raquioplegia;;;;femení;;
rascacul;;;;masculí;;
rascó;;;;masculí;;
rasmada;;;;loc. adv.;;
rasmat;;-ada;;adjectiu;;
raspalló;;;;loc. adv.;;
raspot;;;;masculí;;
raspoter;;;;masculí;;
rastellador;;;;masculí;;
rastellot;;;;masculí;;
rastoll;;;;masculí;col·loquial;
rastrons;;;;loc. adv.;;
ratanina;;;;femení;;
ratificador;;-a;;adjectiu;;
ratolina;;;;femení;;
ratolinejar;;;;verb intransitiu;;
ratot;;;;masculí;;
ratxejar;;;;verb intransitiu;;
raucor;;;;femení;;
raudorassa;;;;femení;;
raudoreda;;;;femení;;
ravatacapes;;;;loc. adv.;;
raveníssia;;;;femení;;
realenc;;;;masculí;antic;
realesa;;;;femení;antic;
realme;;;;masculí;antic;
rebaldidor;;-a;;adjectiu;;
reballador;;;;masculí;;
reballadora;;;;femení;;
rebavador;;-a;;masculí i femení;;
rebavar;;;;verb transitiu;;
rebentó;;;;masculí;;
rebissa;;;;femení;;
reblut;;-uda;;adjectiu;;
rebolicador;;-a;;adjectiu i masculí i femení;;
rebollosa;;;;femení;;
rebossar;;;;verb transitiu;;
rebotejador;;-a;;adjectiu i masculí i femení;;
rebotejar;;;;verb intransitiu;;
reboter;;-a;;masculí i femení;;
rebregament;;;;Masculí;;
rebrotís;;;-issos;masculí;;
rebugada;;;;femení;;
rebutger;;-a;;masculí i femení;;
rebutjador;;-a;;adjectiu;;
recalador;;;;masculí;;
recalcificar;;;;verb transitiu;;
recapiar;;;;verb transitiu;;
recatalanitzar;;;;verb transitiu;;
recavó;;;;masculí;;
recerada;;;;femení;;
recerós;;-osa;;adjectiu;;
reclusori;;;;masculí;;
recoedor;;;;masculí;;
recomanador;;-a;;adjectiu;;
recomanatori;;-òria;;adjectiu;;
recompressió;;;;femení;;
reconco;;;;loc. adv.;;
reconeiximent;;;;masculí;;
recontra;;;;interjecció;;
recordina;;;;adjectiu i femení;;
recordinar;;;;verb intransitiu;;
recreiximent;;;;masculí;;
recriador;;-a;;masculí i femení;;
recruament;;;;Masculí;;
rectàlgia;;;;femení;;
rectectomia;;;;femení;;
rectografia;;;;femení;;
rectoplàstia;;;;femení;;
rectorràgia;;;;femení;;
recuer;;-a;;masculí i femení;;
recuixa;;;;femení;;
recuixera;;;;femení;;
reculons;;;;loc. adv.;;
recusador;;-a;;adjectiu i masculí i femení;;
redable;;;;masculí;;
redescomptar;;;;verb transitiu;;
redimoni;;;;interjecció;col·loquial;
redoblegament;;;;Masculí;;
redolons;;;;loc. adv.;;
redolons;;;;locució;;
redonor;;;;femení;;
redor;;;;loc. adv.;;
redorada;;;;femení;;
redreguera;;;;femení;;
reencontrar;;;;verb transitiu;;
reentelatge;;;;masculí;;
reestampar;;;;verb transitiu;;
referidor;;-a;;adjectiu i masculí i femení;;
referidor;;-a;;masculí;;
refilament;;;;Masculí;;
refonedor;;-a;;masculí i femení;;
refraccionista;;;;masculí i femení;;
refractometria;;;;femení;;
refractura;;;;femení;;
refregó;;;;masculí;;
refrescó;;;;masculí;;
refusament;;;;Masculí;;
refusió;;;;femení;;
regable;;;;adjectiu;;
regalissier;;-a;;masculí i femení;;
regallera;;;;femení;;
regatxol;;;;masculí;;
regellera;;;;femení;;
regist;;;;masculí;;
regló;;;;masculí;;
regloscopi;;;;masculí;;
regolar;;;;verb intransitiu;col·loquial;
regordí;;;;masculí;;
regordina;;;;adjectiu i femení;;
reguaretar;;;;verb transitiu;;
reixer;;-a;;masculí i femení;;
reixiu;;;;masculí;;
reixiuada;;;;femení;;
reixiuar;;;;verb intransitiu;;
rellavar;;;;verb transitiu;;
rellissar;;;;verb intransitiu;;
rellonge;;;;masculí;col·loquial;
rellonja;;;;femení;;
relluentor;;;;femení;;
remanera;;;;loc. adv.;;
remeiador;;-a;;adjectiu;;
remenejar;;;;verb transitiu i pronominal;;
remerol;;;;adjectiu i masculí i femení;;
remineralització;;;;femení;;
rèmington;;;;masculí;;
remitència;;;;femení;;
remitjot;;;;masculí;;
remix;anglés;;;masculí;;
remotivació;;;;femení;;
remotivar;;;;verb transitiu;;
remugós;;-osa;;adjectiu;;
renaiximent;;;;masculí;;
rendibú;;;;loc. verb.;;
renegó;;-ona;;masculí;;
renegó;;-ona;;adjectiu;;
renitis;;;;femení invariable;;
renopatia;;;;femení;;
renoquet;;;;masculí;;
rentó;;;;masculí;;
renyador;;-a;;adjectiu;;
reobàsic;;-a;;adjectiu;;
repassó;;;;masculí;;
repatxo;;;;interjecció;;
repent;;;;loc. adv.;;
repent;;;;masculí;;
repent;;;;locució;;
repicacampanes;;;;masculí invariable;;
repostar;;;;verb transitiu;;
repostatge;;;;masculí;;
reprémer;;;;verb transitiu;;
repremut;;;;masculí;;
repret;;;;masculí;;
repretada;;;;femení;;
repretador;;;;masculí;;
repretar;;;;verb transitiu;;
repretó;;;;masculí;;
reprise;francés;;;masculí;;
reprocés;;;-essos;masculí;;
reprocessament;;;;masculí;;
reprocessar;;;;verb transitiu;;
repujador;;-a;;masculí i femení;;
requincadura;;;;femení;;
requirent;;;;adjectiu i masculí i femení;;
resaludar;;;;verb transitiu;;
resalutació;;;;femení;;
rescobla;;;;femení;;
resectoscòpia;;;;femení;;
resinoide;;;;adjectiu;;
resinoide;;;;masculí;;
resolutivitat;;;;femení;;
respatllera;;;;femení;;
resplandent;;;;adjectiu;antic;
resplandir;;;;verb intransitiu;antic;
resplandor;;;;femení (o masculí);;
responedor;;-a;;adjectiu i masculí i femení;;
responiment;;;;Masculí;;
resposteria;;;;femení;;
resquitllent;;-a;;adjectiu;;
resquitllent;;-a;;loc. adv.;;
ressalat;;-ada;;adjectiu;;
resupinació;;;;femení;;
retafila;;;;femení;;
retanyer;;-a;;adjectiu;;
retanyir;;;;verb intransitiu;;
retestinament;;;;masculí;;
retestinar;;;;verb transitiu i pronominal;;
reticulació;;;;femení;;
reticuloide;;;;adjectiu i masculí;;
retinoscòpia;;;;femení;;
retinòsquisi;;;;femení;;
retio;;-ia;;masculí i femení;;
retió;;;;masculí;;
retorcilló;;;;masculí;;
retoria;;;;femení;col·loquial;
retrama;;;;femení;;
retrama;;;;loc. adj.;;
retramar;;;;masculí;;
retrencar;;;;verb transitiu i intransitiu;;
retrognàtia;;;;femení;;
retronador;;-a;;adjectiu;;
retronament;;;;masculí;;
retropeu;;;;masculí;;
retrovertit;;-ida;;adjectiu;;
retrusió;;;;femení;;
reumatogen;;-ògena;;adjectiu;;
reumatosi;;;;femení;;
revacular;;;;verb intransitiu;;
revalencianització;;;;femení;;
revalencianitzar;;;;verb transitiu;;
revalidador;;-a;;adjectiu;;
revencillar;;;;verb transitiu;;
revencillar;;;;verb pronominal;;
reverenciador;;-a;;adjectiu;;
revirescent;;;;adjectiu;;
reviscolador;;-a;;adjectiu;;
revolteig;;;;masculí;;
revoltejar;;;;verb transitiu i intransitiu;;
revore;;;;verb transitiu;;
rexiu;;;;masculí;;
rexuplar;;;;verb transitiu;;
rexuplar;;;;locució;;
rexuplit;;;;masculí;;
rexuplós;;-osa;;adjectiu;;
Rh;;;;masculí s.l.;;
rhebok;afrikaans;;;masculí;;
rhythm-and-blues;anglés;;;masculí;;
riatxar-se;;;;verb pronominal;;
ricinisme;;;;masculí;;
riel;;;;masculí;;
rifador;;-a;;adjectiu i masculí i femení;;
rifador;;-a;;masculí i femení;;
rigodó;;;;masculí;;
rimall;;;;masculí;;
rimbombant;;;;adjectiu;;
rim-ram;;;;masculí;;
ringlera;;;;femení;col·loquial;
rini;;;;masculí;;
rínic;;-a;;adjectiu;;
rinoescleroma;;;;masculí;;
rinxo;;;;masculí;;
rinxo;;;;loc. adv. i prep.;;
rinxo-rinxo;;;;adverbi;;
rioja;;;;masculí;;
rípia;;;;femení;;
rípia;;;;loc. verb.;;
ripicèfal;;;;masculí;;
ripofàgia;;;;femení;;
ripofòbia;;;;femení;;
riptoglòs;;;;masculí plural;;
riptoglòs;;;-ossos;masculí singular;;
risclar;;;;verb transitiu;;
riscló;;;;masculí;;
ritidoplàstia;;;;femení;;
rivetador;;-a;;masculí i femení;;
rivetadora;;;;femení;;
rivetó;;;;masculí;;
robinsó;;;;masculí;;
robinsonisme;;;;masculí;;
rodabalcó;;;;masculí;;
rodeno;;;;adjectiu i masculí;;
rodeno;;;;adjectiu;;
rodofilaxi;;;;femení;;
rodolador;;-a;;adjectiu;;
rodolons;;;;loc. adv.;;
roentgenisme;;;;masculí;;
roentgenització;;;;femení;;
roentgenscòpia;;;;femení;;
roflar;;;;verb intransitiu;;
roibos;;;;masculí;;
rojura;;;;femení;;
rojús;;-ussa;;adjectiu;;
romanesco;;;;masculí;;
rompissada;;;;femení;;
rompissar;;;;verb transitiu;;
romp-roques;;;;masculí invariable;;
rondallesc;;-a;;adjectiu;;
ronquit;;;;masculí;;
roqueret;;;;masculí;;
roqueretes;;;;femení plural;;
rosegadura;;;;femení;;
roseïna;;;;femení;;
rossadora;;;;femení;;
rossar;;;;verb transitiu;;
rossarda;;;;femení;;
rossegons;;;;loc. adv.;;
rossoll;;;;masculí;;
rotlat;;;;masculí;;
rotller;;-a;;adjectiu i masculí i femení;col·loquial;
rotllista;;;;adjectiu i masculí i femení;;
rotogravar;;;;verb transitiu;;
rotovàtor;;;;masculí;;
rotulià;;-ana;;adjectiu;;
rourenc;;;;masculí;;
rovalladora;;;;femení;;
rovallar;;;;verb intransitiu;;
rovinera;;;;femení;;
roviny;;;;masculí;;
rovinyar;;;;verb transitiu i pronominal;;
rubeòlic;;-a;;adjectiu;;
rubigina;;;;femení;;
rubivirus;;;;masculí invariable;;
rudament;;;;adverbi;;
rugló;;;;masculí;;
ruglonar;;;;verb transitiu;;
rugoscòpia;;;;femení;;
ruibarb;;;;masculí;;
rullós;;-osa;;adjectiu;;
rumiatge;;;;masculí;;
rumiejar;;;;verb intransitiu;;
rumrumejar;;;;verb intransitiu;;
rungla;;;;femení;;
russofilia;;;;femení;;
rutilància;;;;femení;;
rutlló;;;;masculí;;
sabacada;;;;femení;;
sabatall;;;;masculí;;
sàbiga;;;;femení;;
saboguera;;;;masculí;;
sabrada;;;;femení;;
sacarolat;;-ada;;adjectiu i masculí;;
sacarorrea;;;;femení;;
sacarós;;-osa;;adjectiu;;
sacatrop;;;;masculí;;
saciament;;;;Masculí;;
sacràlgia;;;;femení;;
sacramentalitat;;;;femení;;
